,Antibody,Donor,Sample,LibraryNo,Treatment,Index,length TS,conc Qbit,OriginalSeq,Reseq RS1,Reseq RS2,% Dups,% GC,M Seqs,total peaks,IP efficiency,total tags,,,,
ChIP_CD34_14_2_SA2_529_1252_PU1,PU1,CD34_14,CD34_14_2,215,SA2_KD,NEBNext 31,335,3.3,/misc/data/rawData/chromatin/ChIP/CD34/ChIP_CD34_14_2_SA2_PU1_S13_R1_001.fastq.gz,,,8.60%,42%,20.9,116098,23.91%,18708223,,,,
ChIP_CD34_14_3_siCtrl_PU1,PU1,CD34_14,CD34_14_3,212,siCtrl,NEBNext 26,326,3.6,/misc/data/rawData/chromatin/ChIP/CD34/ChIP_CD34_14_3_ctr_PU1_S10_R1_001.fastq.gz,,,8.70%,42%,19.7,120116,24.51%,17660259,,,,
ChIP_CD34_17_1_SA1KD_PU1poly,PU1,CD34_17,CD34_17_1,219,SA1_KD,NEBNext 13,312,2.72,/misc/data/rawData/chromatin/ChIP/CD34/Chip_CD34_17-1_SA1KD_S1_R1_001.fastq.gz,,,17.33%,40%,53,95243,11.92%,46610349,,,,
ChIP_CD34_17_2_SA2_529_1252_PU1,PU1,CD34_17,CD34_17_2,216,SA2_KD,NEBNext 32,331,6.84,/misc/data/rawData/chromatin/ChIP/CD34/ChIP_CD34_17_2_SA2_PU1_S14_R1_001.fastq.gz,,,6.70%,41%,20.4,90817,16.23%,18145407,,,,
ChIP_CD34_20_5_SA2_529_1252_PU1,PU1,CD34_20,CD34_20_5,217,SA2_KD,NEBNext 33,346,9.42,/misc/data/rawData/chromatin/ChIP/CD34/ChIP_CD34_20_5_SA2_PU1_S15_R1_001.fastq.gz,,,7.60%,42%,21.2,123856,29.38%,19054687,,,,
ChIP_CD34_21_2_SA1KD_PU1poly,PU1,CD34_21,CD34_21_2,225,SA1_KD,NEBNext 37,329,3.45,/misc/data/rawData/chromatin/ChIP/CD34/ChIP_CD34_21-2_SA1KD_PU1poly-wdhl_S6_R1_001.fastq.gz,,,18.20%,43%,73.8,150322,24.85%,62046893,,,,
ChIP_CD34_22_2_SA2_529_1252_PU1,PU1,CD34_22,CD34_22_2,218,SA2_KD,NEBNext 34,320,5.32,/misc/data/rawData/chromatin/ChIP/CD34/ChIP_CD34_22_2_SA2_PU1_S16_R1_001.fastq.gz,,,6.70%,42%,17.7,104417,21.55%,15778427,,,,
ChIP_CD34_22_3_siCtrl_PU1,PU1,CD34_22,CD34_22_3,213,siCtrl,NEBNext 27,338,4.36,/misc/data/rawData/chromatin/ChIP/CD34/Chip_CD34_22-3_ctr_PU1poly_S3_R1_001.fastq.gz,,,8.60%,42%,21.5,115969,23.24%,19247867,,,,
ChIP_CD34_24_2_siCtrl_PU1,PU1,CD34_24,CD34_24_2,214,siCtrl,NEBNext 28,332,4.02,/misc/data/rawData/chromatin/ChIP/CD34/ChIP_CD34_24_2_ctr_PU1_S12_R1_001.fastq.gz,,,7.20%,42%,17.6,83416,15.71%,15488982,,,,
ChIP_CD34_27_3_SA1KD_PU1poly,PU1,CD34_27,CD34_27_3,221,siCtrl,NEBNext 20,310,5.04,/misc/data/rawData/chromatin/ChIP/CD34/Chip_CD34_27-3_SA1KD_PU1poly_S2_R1_001.fastq.gz,,,12.70%,40%,53,59689,5.92%,46146017,,,,