Sample,Donor,group,totaltagcount,totalfiltcontacts
14_siCtrl,d14,CTRL,202146987,101073493.5
17_siCtrl,d17,CTRL,202192936,101096468
18_siCtrl,d18,CTRL,192241469,96120734.5
20_siCtrl,d20,CTRL,199095615,99547807.5
21_siCtrl,d21,CTRL,182696832,91348416
22_siCtrl,d22,CTRL,191060390,95530195
27_siCtrl,d27,CTRL,178886761,89443380.5
28_siCtrl,d28,CTRL,156537085,78268542.5
14_SA2,d14,SA2KD,193302098,96651049
17_SA2,d17,SA2KD,195227584,97613792
20_SA2,d20,SA2KD,195146479,97573239.5
21_SA2,d21,SA2KD,189697003,94848501.5
22_SA2,d22,SA2KD,187915740,93957870
28_SA2,d28,SA2KD,153449352,76724676